Year,Fuel,Unit,Quantity
2015-16,Bagasse,GWh,2493.407
2015-16,Landfill biogas,GWh,1296.487
2015-16,Municipal and industrial waste,GWh,
2015-16,Sludge biogas and biofuels,GWh,
2015-16,Total bioenergy,GWh,3789.894
2015-16,Wood and other,GWh,
2016-17,Bagasse,GWh,1435.393
2016-17,Landfill biogas,GWh,962.922
2016-17,Municipal and industrial waste,GWh,75.672
2016-17,Sludge biogas and biofuels,GWh,286.034
2016-17,Total bioenergy,GWh,3500.546
2016-17,Wood and other,GWh,740.525
2017-18,Bagasse,GWh,1425.126
2017-18,Landfill biogas,GWh,1026.935
2017-18,Municipal and industrial waste,GWh,95.122
2017-18,Sludge biogas and biofuels,GWh,231.845
2017-18,Total bioenergy,GWh,3517.685
2017-18,Wood and other,GWh,738.658
2018-19,Bagasse,GWh,1287.087
2018-19,Landfill biogas,GWh,1080
2018-19,Municipal and industrial waste,GWh,60.282
2018-19,Sludge biogas and biofuels,GWh,263.63
2018-19,Total bioenergy,GWh,3495.881
2018-19,Wood and other,GWh,804.882
2019-20,Bagasse,GWh,1166.548
2019-20,Landfill biogas,GWh,1080.314
2019-20,Municipal and industrial waste,GWh,34.012
2019-20,Sludge biogas and biofuels,GWh,281.552
2019-20,Total bioenergy,GWh,3351.63
2019-20,Wood and other,GWh,789.204
2020-21,Bagasse,GWh,1207.396
2020-21,Landfill biogas,GWh,1111.713
2020-21,Municipal and industrial waste,GWh,55.287
2020-21,Sludge biogas and biofuels,GWh,242.299
2020-21,Total bioenergy,GWh,3346.182
2020-21,Wood and other,GWh,729.487
2021-22,Bagasse,GWh,1111.383
2021-22,Landfill biogas,GWh,1098.727
2021-22,Municipal and industrial waste,GWh,56.778
2021-22,Sludge biogas and biofuels,GWh,274.079
2021-22,Total bioenergy,GWh,3190.257
2021-22,Wood and other,GWh,649.29
2022-23,Bagasse,GWh,1010.042
2022-23,Landfill biogas,GWh,1102.91
2022-23,Municipal and industrial waste,GWh,71.526
2022-23,Sludge biogas and biofuels,GWh,305.402
2022-23,Total bioenergy,GWh,3096.032
2022-23,Wood and other,GWh,606.152
2023-24,Bagasse,GWh,1247.321
2023-24,Landfill biogas,GWh,1089.039
2023-24,Municipal and industrial waste,GWh,70.792
2023-24,Sludge biogas and biofuels,GWh,301.231
2023-24,Total bioenergy,GWh,3301.411
2023-24,Wood and other,GWh,593.029
